id,time,event,status
1,48,NILS46,1
2,50,NILS46,1
3,67,NILS46,1
4,67,NILS46,1
5,67,NILS46,1
6,50,NILS46,1
7,67,NILS46,1
8,67,NILS46,1
9,67,NILS46,1
10,67,NILS46,1
11,67,NILS46,1
12,67,NILS46,1
13,67,NILS46,1
14,67,NILS46,1
15,144,NILS46,0
16,46,NILS46,1
17,67,NILS46,1
18,67,NILS46,1
19,67,NILS46,1
20,69,NILS46,1
21,48,NILS46Δirp2::0,1
22,67,NILS46Δirp2::0,1
23,67,NILS46Δirp2::0,1
24,67,NILS46Δirp2::0,1
25,67,NILS46Δirp2::0,1
26,50,NILS46Δirp2::0,1
27,67,NILS46Δirp2::0,1
28,67,NILS46Δirp2::0,1
29,144,NILS46Δirp2::0,0
30,144,NILS46Δirp2::0,0
31,67,NILS46Δirp2::0,1
32,67,NILS46Δirp2::0,1
33,139,NILS46Δirp2::0,1
34,139,NILS46Δirp2::0,1
35,144,NILS46Δirp2::0,0
36,67,NILS46Δirp2::0,1
37,67,NILS46Δirp2::0,1
38,144,NILS46Δirp2::0,0
39,144,NILS46Δirp2::0,0
40,144,NILS46Δirp2::0,0
