strain	phylogroup
ECOR-01	A
ECOR-02	A
ECOR-03	A
ECOR-04	A
ECOR-05	A
ECOR-06	A
ECOR-07	A
ECOR-08	A
ECOR-09	A
ECOR-10	A
ECOR-11	A
ECOR-12	A
ECOR-13	A
ECOR-14	A
ECOR-15	A
ECOR-16	A
ECOR-17	A
ECOR-18	A
ECOR-19	A
ECOR-20	A
ECOR-21	A
ECOR-22	A
ECOR-23	A
ECOR-24	A
ECOR-25	A
ECOR-26	B1
ECOR-27	B1
ECOR-28	B1
ECOR-29	B1
ECOR-30	B1
ECOR-31	E
ECOR-32	B1
ECOR-33	B1
ECOR-34	B1
ECOR-35	F
ECOR-36	F
ECOR-37	E
ECOR-38	F
ECOR-39	F
ECOR-40	F
ECOR-41	F
ECOR-42	E
ECOR-43	A
ECOR-44	D
ECOR-45	B1
ECOR-46	D
ECOR-47	D
ECOR-48	D
ECOR-49	D
ECOR-50	D
ECOR-51	B2
ECOR-52	B2
ECOR-53	B2
ECOR-54	B2
ECOR-55	B2
ECOR-56	B2
ECOR-57	B2
ECOR-58	B1
ECOR-59	B2
ECOR-60	B2
ECOR-61	B2
ECOR-62	B2
ECOR-63	B2
ECOR-64	B2
ECOR-65	B2
ECOR-66	B2
ECOR-67	B1
ECOR-69	B1
ECOR-70	C
ECOR-71	C
ECOR-72	B1
IAI01	B1
IAI02	B1
IAI03	A
IAI04	A
IAI05	E
IAI06	A
IAI07	A
IAI08	C
IAI09	A
IAI10	A
IAI11	A
IAI12	A
IAI13	A
IAI14	A
IAI15	A
IAI16	A
IAI17	A
IAI18	C
IAI19	A
IAI20	A
IAI21	B1
IAI22	A
IAI23	A
IAI24	D
IAI25	A
IAI26	A
IAI27	D
IAI28	A
IAI29	A
IAI30	D
IAI31	A
IAI32	clade_I
IAI33	F
IAI34	A
IAI35	F
IAI36	F
IAI37	A
IAI38	B2
IAI39	F
IAI40	A
IAI41	C
IAI42	C
IAI43	C
IAI44	A
IAI45	clade_I
IAI46	B2
IAI47	B2
IAI48	B2
IAI49	B2
IAI50	E
IAI51	B2
IAI53	B2
IAI54	B2
IAI55	B2
IAI56	B2
IAI57	B2
IAI58	F
IAI59	B2
IAI60	B2
IAI61	B2
IAI62	B2
IAI63	B2
IAI64	B2
IAI65	B2
IAI66	B2
IAI67	B2
IAI68	B2
IAI69	B2
IAI70	B2
IAI71	B2
IAI72	B2
IAI73	B2
IAI74	B2
IAI75	B2
IAI76	B2
IAI77	B2
IAI78	B2
IAI79	B2
IAI80	B2
IAI81	B2
IAI82	B2
NILS01	D
NILS02	B1
NILS03	A
NILS04	A
NILS05	E
NILS06	A
NILS07	A
NILS08	A
NILS09	A
NILS10	A
NILS11	A
NILS12	A
NILS13	A
NILS14	A
NILS15	C
NILS16	A
NILS17	A
NILS18	D
NILS19	B2
NILS20	B2
NILS21	B2
NILS22	A
NILS23	D
NILS24	B1
NILS25	B2
NILS26	B2
NILS27	B2
NILS28	B2
NILS29	B2
NILS30	A
NILS31	Clade_I
NILS32	A
NILS33	B1
NILS34	C
NILS35	A
NILS36	F
NILS37	A
NILS38	D
NILS39	D
NILS40	C
NILS41	A
NILS42	D
NILS43	A
NILS44	B2
NILS45	E
NILS46	D
NILS47	C
NILS48	C
NILS49	B1
NILS50	D
NILS51	D
NILS52	D
NILS53	B2
NILS54	B2
NILS55	B2
NILS56	D
NILS57	B2
NILS58	B2
NILS59	B2
NILS60	G
NILS61	B2
NILS62	B2
NILS63	B2
NILS64	B2
NILS65	B2
NILS66	B2
NILS67	B2
NILS68	B2
NILS69	B2
NILS70	B2
NILS71	B2
NILS72	B2
NILS73	B2
NILS74	B2
NILS75	B2
NILS76	B2
NILS77	B2
NILS78	B2
NILS79	B2
NILS80	B2
NILS81	B2
NILS82	B2
EDL933	E
025-010	E
B6A1	E
LMR-3158	E
ROAR012	E
ROAR029	E
ROAR036	E
ROAR059	E
ROAR131	E
ROAR274	E
ROAR387	E
EC6230	E
H1-001-0027-S-G	B1
H1-001-0093-R-A	B1
H1-001-0125-B-M	B1
H1-002-0064-E-M	B1
H1-003-0010-G-J	B1
