b0001	P0AD86
b0002	P00561
b0003	P00547
b0004	P00934
b0005	P75616
b0006	P0A8I3
b0007	P30143
b0008	P0A870
b0009	P0AF03
b0010	P0AC98
b0011	P75617
b0013	P28696
b0014	P0A6Y8
b0015	P08622
b0016	P0CF91
b0018	P33236
b4412	P0ACG4
b0019	P13738
b0020	P0A9G2
b0021	P0CF25
b0022	P0CF07
b0023	P0A7U7
b0024	P75620
b0025	P0AG40
b0026	P00956
b0027	P00804
b0028	P0AEM0
b0029	P62623
b0030	P22564
b0031	P04036
b0032	P0A6F1
b0033	P00968
b0034	P0AE58
b0035	P39206
b0036	P31551
b0037	P31552
b0038	P31572
b0039	P60584
b0040	P31553
b0041	P60566
b0042	P31574
b0043	P68644
b0044	P68646
b0045	P31679
b0046	P0A754
b0047	P03819
b0048	P0ABQ4
b0049	P05637
b0050	P62672
b0051	P06992
b0052	P19624
b0053	P0ABZ6
b0054	P31554
b0055	P31680
b0058	P0AA37
b0059	P60240
b0060	P21189
b0061	P08203
b0062	P08202
b0063	P08204
b0064	P0A9E0
b0065	P30149
b0066	P31548
b0067	P31549
b0068	P31550
b0069	P33595
b4662	C1P5Z7
b0070	P31675
b0071	P30126
b0072	P0A6A6
b0073	P30125
b0074	P09151
b0075	P0AD79
b0076	P10151
b0077	P00893
b0078	P00894
b0080	P0ACP1
b0081	P22186
b0082	P60390
b0083	P0AEN4
b0084	P0AD68
b0085	P22188
b0086	P11880
b0087	P0A6W3
b0088	P14900
b0089	P0ABG4
b0090	P17443
b0091	P17952
b0092	P07862
b0093	P06136
b0094	P0ABH0
b0095	P0A9A6
b0096	P0A725
b0097	P62395
b0098	P10408
b0099	P08337
b0101	P0A8H8
b0102	P36680
b0103	P0A6I9
b0104	P60560
b0106	P36646
b0107	P36645
b0108	P36647
b0109	P30011
b0110	P13016
b0111	P0AE14
b0112	P15993
b0113	P0ACL9
b0114	P0AFG8
b0115	P06959
b0116	P0A9P0
b0117	P36682
b0118	P36683
b0119	P0A8E5
b0120	P0A7F6
b0121	P09158
b0122	P0AA95
b0123	P36649
b0124	P15877
b0125	P0A9M2
b0126	P61517
b0127	P36879
b0128	P0AFN6
b0129	P36881
b0130	P31666
b0131	P0A790
b0132	P31665
b0133	P31663
b0134	P31057
b0135	P31058
b0136	P37016
b0137	P37017
b0138	P37018
b0139	P33129
b0140	P33128
b0141	P37050
b0142	P26281
b0143	P0ABF1
b0144	P27305
b0145	P0ABS1
b0146	P0A823
b0147	P37025
b0148	P37024
b0149	P02919
b0150	P06971
b0151	P07821
b0152	P07822
b0153	P06972
b0154	P23893
b0155	P37019
b0156	P0ACC3
b0157	P0AFP0
b0158	P37028
b0159	P0AF12
b0160	P15723
b0161	P0C0V0
b0162	P37047
b0163	P62768
b0164	P37049
b0166	P0A9D8
b0167	P27249
b0168	P0AE18
b0169	P0A7V0
b0170	P0A6P1
b0171	P0A7E9
b0172	P0A805
b0173	P45568
b0174	P60472
b0175	P0ABG1
b0176	P0AEH1
b0177	P0A940
b0178	P0AEU7
b0179	P21645
b0180	P0A6Q6
b0181	P0A722
b0182	P10441
b0183	P10442
b0184	P10443
b0185	P0ABD5
b0186	P52095
b0187	P52096
b0188	P52097
b0189	P0AFW8
b4406	P0A8K5
b0190	P0AA97
b0191	P40711
b0192	P40710
b0193	P37056
b0194	P16659
b0195	P28634
b0196	P69411
b0197	P28635
b0198	P31547
b0199	P30750
b0200	P63228
b0207	P30863
b0208	P30864
b0209	P0A8U2
b0210	P30866
b0211	P0AEZ7
b0212	P0AC84
b0213	P75672
b0214	P0A7Y4
b0215	P03007
b0217	P77339
b4586	A5A605
b0219	Q47679
b0220	P0AD59
b0221	Q47146
b0222	P63224
b0223	Q47147
b0224	P0AA99
b0225	Q47149
b0226	Q47150
b0227	Q47151
b0228	Q47152
b0231	Q47155
b0232	Q47156
b0233	Q47157
b0234	Q47158
b0237	P15288
b0238	P0A9M5
b0239	P04335
b0241	P02932
b0242	P0A7B5
b0243	P07004
b0245	P77692
